ISBN,Title,Author,Year
9780893910501,Understanding Computers and Cognition: A New Foundation for Design,Terry Winograd and Fernando Flores,1986
9780898599596,The Ecological Approach to Visual Perception,James Gibson,1986
9780521337397,Plans and Situated Actions: The Problem of Human-Machine Communication,Lucy Suchman,1987
9789519593326,Learning By Expanding: An Activity-theoretical Approach To Developmental Research,Yrjö Engeström,1987
9780805805703,Through the Interface: A Human Activity Approach To User Interface Design,Susanne Bødker,1990
9780262540674,What Computers Still Can't Do: A Critique of Artificial Reason,Hubert Dreyfus,1992
9780201550603,Computers as Theatre,Brenda Laurel,1993
9780262581462,Cognition in the Wild,Edwin Hutchins,1996
9780486298955,How we think,John Dewey,1910
9780262260619,Where the Action Is: The Foundations of Embodied Interaction,Paul Dourish,2004
